id,name,markers,location,meaning,tagline,timestamp
1,Priam,[],"Troy, Troad","""very courageous""","King of Troy | fathered Cassandra, Creusa, Deiphobus, Hector, Helenus, Ilione, Laodice, Paris, Polyxena, and Troilus with Hecuba; brother of Astyoche (Troy) and Tithonus",2026-03-19 19:08:32.115927+00
2,Agamemnon,[],"Mycenae, Argolis","""very steadfast""","King of Mycenae | fathered Chrysothemis, Electra, Iphigenia and Orestes with Clytemnestra; brother of Anaxibia and Menelaus",2026-03-19 19:08:32.115927+00
3,Menelaus,[],"Mycenae, Argolis","""strength of the people""",King of Sparta | fathered Hermione with Helen; brother of Agamemnon and Anaxibia,2026-03-19 19:08:32.115927+00
4,Cassandra,"[""Seer"",""Prophet""]","Troy, Troad","""excel, shine""","Princess of Troy | daughter of Priam and Hecuba; sister of Creusa, Deiphobus, Hector, Helenus, Ilione, Laodice, Paris, Polyxena, and Troilus",2026-03-19 19:08:32.115927+00
5,Hector,[],"Troy, Troad","""hold, steadfast""","Prince of Troy | fathered Astyanax with Andromache; son of Priam and Hecuba; brother of Cassandra, Creusa, Deiphobus, Helenus, Ilione, Laodice, Paris, Polyxena, and Troilus",2026-03-19 19:08:32.115927+00
6,Odysseus,[],"Ithaca, Ionian Islands","""troubled, wrathful""",King of Ithaca | fathered Telemachus with Penelope; son of Anticlea and Laertes; brother of Ctimene,2026-03-19 19:08:32.115927+00
7,Paris,[],"Troy, Troad","""defending men""","Prince of Troy | son of Priam and Hecuba; brother of Cassandra, Creusa, Deiphobus, Hector, Helenus, Ilione, Laodice, Paris, Polites, Polydorus, Polyxena, and Troilus; half-brother of Aesacus, Gorgythion, and Lycaon",2026-03-19 19:08:32.115927+00
8,Anaxibia,[],"Mycenae, Argolis","""queenly one""",Queen of Crisa | mothered Pylades with Strophius; sister of Agamemnon and Menelaus,2026-03-19 19:08:32.115927+00
9,Iphigenia,"[""Prophet""]","Mycenae, Argolis","""strong""","Princess of Mycenae | daughter of Agamemnon and Clytemnestra; sister of Chrysothemis, Electra, and Orestes",2026-03-19 19:08:32.115927+00
10,Electra,[],"Mycenae, Argolis","""amber""","Princess of Mycenae | daughter of Agamemnon and Clytemnestra; sister of Chrysothemis, Iphigenia, and Orestes",2026-03-19 19:08:32.115927+00
11,Orestes,[],"Mycenae, Argolis","""mountain dweller""","Prince of Mycenae | son of Agamemnon and Clytemnestra; brother of Chrysothemis, Electra, and Iphigenia",2026-03-19 19:08:32.115927+00
12,Aegisthus,[],"Mycenae, Argolis","""goat""",Noble of Mycenae | son of Thyestes and Pelopia,2026-03-19 19:08:32.115927+00
13,Chrysothemis,[],"Mycenae, Argolis","""golden law""","Princess of Mycenae | daughter of Agamemnon and Clytemnestra; sister of Electra, Iphigenia, and Orestes",2026-03-19 19:08:32.115927+00
14,Deiphobus,[],"Troy, Troad","""fearsome""","Prince of Troy | son of Priam and Hecuba; brother of Cassandra, Creusa, Hector, Helenus, Ilione, Laodice, Paris, Polyxena, and Troilus",2026-03-19 19:08:32.115927+00
